Interrupt Source/Wire,Leaf Register,Leaf Bit,GPU Interrupt Vector,MSI-X Vector,Virtual,,,
Engine nostall,CPU_LEAF(0),0,0,0,y,,,
Engine nostall,CPU_LEAF(0),1,1,0,y,,,
Engine nostall,CPU_LEAF(0),2,2,0,y,,,
Engine nostall,CPU_LEAF(0),3,3,0,y,,,
Engine nostall,CPU_LEAF(0),4,4,0,y,,,
Engine nostall,CPU_LEAF(0),5,5,0,y,,,
Engine nostall,CPU_LEAF(0),6,6,0,y,,,
Engine nostall,CPU_LEAF(0),7,7,0,y,,,
Engine nostall,CPU_LEAF(0),8,8,0,y,,,
Engine nostall,CPU_LEAF(0),9,9,0,y,,,
Engine nostall,CPU_LEAF(0),10,10,0,y,,,
Engine nostall,CPU_LEAF(0),11,11,0,y,,,
Engine nostall,CPU_LEAF(0),12,12,0,y,,,
Engine nostall,CPU_LEAF(0),13,13,0,y,,,
Engine nostall,CPU_LEAF(0),14,14,0,y,,,
Engine nostall,CPU_LEAF(0),15,15,0,y,,,
Engine nostall,CPU_LEAF(0),16,16,0,y,,,
Engine nostall,CPU_LEAF(0),17,17,0,y,,,
Engine nostall,CPU_LEAF(0),18,18,0,y,,,
Engine nostall,CPU_LEAF(0),19,19,0,y,,,
Engine nostall,CPU_LEAF(0),20,20,0,y,,,
Engine nostall,CPU_LEAF(0),21,21,0,y,,,
Engine nostall,CPU_LEAF(0),22,22,0,y,,,
Engine nostall,CPU_LEAF(0),23,23,0,y,,,
Engine nostall,CPU_LEAF(0),24,24,0,y,,,
Engine nostall,CPU_LEAF(0),25,25,0,y,,,
Engine nostall,CPU_LEAF(0),26,26,0,y,,,
Engine nostall,CPU_LEAF(0),27,27,0,y,,,
Engine nostall,CPU_LEAF(0),28,28,0,y,,,
Engine nostall,CPU_LEAF(0),29,29,0,y,,,
Engine nostall,CPU_LEAF(0),30,30,0,y,,,
Engine nostall,CPU_LEAF(0),31,31,0,y,,,
Runlist Extra,CPU_LEAF(1),0,32,0,n,,,
Runlist Extra,CPU_LEAF(1),1,33,0,n,,,
Runlist Extra,CPU_LEAF(1),2,34,0,n,,,
Runlist Extra,CPU_LEAF(1),3,35,0,n,,,
Runlist Extra,CPU_LEAF(1),4,36,0,n,,,
Runlist Extra,CPU_LEAF(1),5,37,0,n,,,
Runlist Extra,CPU_LEAF(1),6,38,0,n,,,
Runlist Extra,CPU_LEAF(1),7,39,0,n,,,
Runlist Extra,CPU_LEAF(1),8,40,0,n,,,
Runlist Extra,CPU_LEAF(1),9,41,0,n,,,
Runlist Extra,CPU_LEAF(1),10,42,0,n,,,
Runlist Extra,CPU_LEAF(1),11,43,0,n,,,
Runlist Extra,CPU_LEAF(1),12,44,0,n,,,
Runlist Extra,CPU_LEAF(1),13,45,0,n,,,
Runlist Extra,CPU_LEAF(1),14,46,0,n,,,
Runlist Extra,CPU_LEAF(1),15,47,0,n,,,
Runlist Extra,CPU_LEAF(1),16,48,0,n,,,
Runlist Extra,CPU_LEAF(1),17,49,0,n,,,
Runlist Extra,CPU_LEAF(1),18,50,0,n,,,
Runlist Extra,CPU_LEAF(1),19,51,0,n,,,
Runlist Extra,CPU_LEAF(1),20,52,0,n,,,
Runlist Extra,CPU_LEAF(1),21,53,0,n,,,
Runlist Extra,CPU_LEAF(1),22,54,0,n,,,
Runlist Extra,CPU_LEAF(1),23,55,0,n,,,
,CPU_LEAF(1),24,56,0,,,,
,CPU_LEAF(1),25,57,0,,,,
,CPU_LEAF(1),26,58,0,,,,
,CPU_LEAF(1),27,59,0,,,,
,CPU_LEAF(1),28,60,0,,,,
,CPU_LEAF(1),29,61,0,,,,
,CPU_LEAF(1),30,62,0,,,,
,CPU_LEAF(1),31,63,0,,,,
mmu_replayable_fault,CPU_LEAF(2),0,64,1,y,,,
,CPU_LEAF(2),1,65,1,,,,
,CPU_LEAF(2),2,66,1,,,,
,CPU_LEAF(2),3,67,1,,,,
,CPU_LEAF(2),4,68,1,,,,
,CPU_LEAF(2),5,69,1,,,,
,CPU_LEAF(2),6,70,1,,,,
,CPU_LEAF(2),7,71,1,,,,
hub_access_cntr_intr,CPU_LEAF(2),8,72,1,y,,,
,CPU_LEAF(2),9,73,1,,,,
,CPU_LEAF(2),10,74,1,,,,
,CPU_LEAF(2),11,75,1,,,,
,CPU_LEAF(2),12,76,1,,,,
,CPU_LEAF(2),13,77,1,,,,
,CPU_LEAF(2),14,78,1,,,,
,CPU_LEAF(2),15,79,1,,,,
,CPU_LEAF(2),16,80,1,,,,
,CPU_LEAF(2),17,81,1,,,,
,CPU_LEAF(2),18,82,1,,,,
,CPU_LEAF(2),19,83,1,,,,
,CPU_LEAF(2),20,84,1,,,,
,CPU_LEAF(2),21,85,1,,,,
,CPU_LEAF(2),22,86,1,,,,
,CPU_LEAF(2),23,87,1,,,,
,CPU_LEAF(2),24,88,1,,,,
,CPU_LEAF(2),25,89,1,,,,
,CPU_LEAF(2),26,90,1,,,,
,CPU_LEAF(2),27,91,1,,,,
,CPU_LEAF(2),28,92,1,,,,
,CPU_LEAF(2),29,93,1,,,,
,CPU_LEAF(2),30,94,1,,,,
,CPU_LEAF(2),31,95,1,,,,
,CPU_LEAF(3),0,96,1,,,,
,CPU_LEAF(3),1,97,1,,,,
,CPU_LEAF(3),2,98,1,,,,
,CPU_LEAF(3),3,99,1,,,,
,CPU_LEAF(3),4,100,1,,,,
,CPU_LEAF(3),5,101,1,,,,
,CPU_LEAF(3),6,102,1,,,,
,CPU_LEAF(3),7,103,1,,,,
,CPU_LEAF(3),8,104,1,,,,
,CPU_LEAF(3),9,105,1,,,,
,CPU_LEAF(3),10,106,1,,,,
,CPU_LEAF(3),11,107,1,,,,
,CPU_LEAF(3),12,108,1,,,,
,CPU_LEAF(3),13,109,1,,,,
,CPU_LEAF(3),14,110,1,,,,
,CPU_LEAF(3),15,111,1,,,,
,CPU_LEAF(3),16,112,1,,,,
,CPU_LEAF(3),17,113,1,,,,
,CPU_LEAF(3),18,114,1,,,,
,CPU_LEAF(3),19,115,1,,,,
,CPU_LEAF(3),20,116,1,,,,
,CPU_LEAF(3),21,117,1,,,,
,CPU_LEAF(3),22,118,1,,,,
,CPU_LEAF(3),23,119,1,,,,
,CPU_LEAF(3),24,120,1,,,,
,CPU_LEAF(3),25,121,1,,,,
,CPU_LEAF(3),26,122,1,,,,
,CPU_LEAF(3),27,123,1,,,,
,CPU_LEAF(3),28,124,1,,,,
,CPU_LEAF(3),29,125,1,,,,
,CPU_LEAF(3),30,126,1,,,,
,CPU_LEAF(3),31,127,1,,,,
mmu_fault_ecc_error,CPU_LEAF(4),0,128,2,n,,,
cpu doorbell,CPU_LEAF(4),1,129,2,y,,,
priv_doorbell,CPU_LEAF(4),2,130,2,n,,,
mmu_replayable_fault_error,CPU_LEAF(4),3,131,2,y,,,
mmu_non_replayable_fault,CPU_LEAF(4),4,132,2,y,,,
mmu_non_replayable_fault_error,CPU_LEAF(4),5,133,2,y,,,
mmu_info_fault,CPU_LEAF(4),6,134,2,y,,,
fb_hub_intr_0,CPU_LEAF(4),7,135,2,n,,,
pfifo_intr_0,CPU_LEAF(4),8,136,2,n,,,
pfifo_intr_1,CPU_LEAF(4),9,137,2,n,,,
,CPU_LEAF(4),10,138,2,,,,
,CPU_LEAF(4),11,139,2,,,,
,CPU_LEAF(4),12,140,2,,,,
pfb,CPU_LEAF(4),13,141,2,n,,,
,CPU_LEAF(4),14,142,2,,,,
,CPU_LEAF(4),15,143,2,,,,
ioctrl_intr_1,CPU_LEAF(4),16,144,2,n,,,
,CPU_LEAF(4),17,145,2,,,,
thermal,CPU_LEAF(4),18,146,2,n,,,
hdacodec,CPU_LEAF(4),19,147,2,n,,,
ptimer,CPU_LEAF(4),20,148,2,y,,,
pmgr,CPU_LEAF(4),21,149,2,n,,,
ioctrl_intr_0,CPU_LEAF(4),22,150,2,n,,,
dfd,CPU_LEAF(4),23,151,2,n,,,
pmu,CPU_LEAF(4),24,152,2,n,,,
ltc_all,CPU_LEAF(4),25,153,2,n,,,
pdisp,CPU_LEAF(4),26,154,2,n,,,
gsp_intr_0,CPU_LEAF(4),27,155,2,n,,,
pbus,CPU_LEAF(4),28,156,2,n,,,
xve,CPU_LEAF(4),29,157,2,n,,,
priv_ring,CPU_LEAF(4),30,158,2,n,,,
ptimer_alarm,CPU_LEAF(4),31,159,2,n,,,
Runlist tree0,CPU_LEAF(5),0,160,2,n,,,
Runlist tree0,CPU_LEAF(5),1,161,2,n,,,
Runlist tree0,CPU_LEAF(5),2,162,2,n,,,
Runlist tree0,CPU_LEAF(5),3,163,2,n,,,
Runlist tree0,CPU_LEAF(5),4,164,2,n,,,
Runlist tree0,CPU_LEAF(5),5,165,2,n,,,
Runlist tree0,CPU_LEAF(5),6,166,2,n,,,
Runlist tree0,CPU_LEAF(5),7,167,2,n,,,
Runlist tree0,CPU_LEAF(5),8,168,2,n,,,
Runlist tree0,CPU_LEAF(5),9,169,2,n,,,
Runlist tree0,CPU_LEAF(5),10,170,2,n,,,
Runlist tree0,CPU_LEAF(5),11,171,2,n,,,
Runlist tree0,CPU_LEAF(5),12,172,2,n,,,
Runlist tree0,CPU_LEAF(5),13,173,2,n,,,
Runlist tree0,CPU_LEAF(5),14,174,2,n,,,
Runlist tree0,CPU_LEAF(5),15,175,2,n,,,
Runlist tree0,CPU_LEAF(5),16,176,2,n,,,
Runlist tree0,CPU_LEAF(5),17,177,2,n,,,
Runlist tree0,CPU_LEAF(5),18,178,2,n,,,
Runlist tree0,CPU_LEAF(5),19,179,2,n,,,
Runlist tree0,CPU_LEAF(5),20,180,2,n,,,
Runlist tree0,CPU_LEAF(5),21,181,2,n,,,
Runlist tree0,CPU_LEAF(5),22,182,2,n,,,
Runlist tree0,CPU_LEAF(5),23,183,2,n,,,
,CPU_LEAF(5),24,184,2,,,,
,CPU_LEAF(5),25,185,2,,,,
,CPU_LEAF(5),26,186,2,,,,
,CPU_LEAF(5),27,187,2,,,,
,CPU_LEAF(5),28,188,2,,,,
,CPU_LEAF(5),29,189,2,,,,
,CPU_LEAF(5),30,190,2,,,,
,CPU_LEAF(5),31,191,2,,,,
Engine stall,CPU_LEAF(6),0,192,3,n,,,
Engine stall,CPU_LEAF(6),1,193,3,n,,,
Engine stall,CPU_LEAF(6),2,194,3,n,,,
Engine stall,CPU_LEAF(6),3,195,3,n,,,
Engine stall,CPU_LEAF(6),4,196,3,n,,,
Engine stall,CPU_LEAF(6),5,197,3,n,,,
Engine stall,CPU_LEAF(6),6,198,3,n,,,
Engine stall,CPU_LEAF(6),7,199,3,n,,,
Engine stall,CPU_LEAF(6),8,200,3,n,,,
Engine stall,CPU_LEAF(6),9,201,3,n,,,
Engine stall,CPU_LEAF(6),10,202,3,n,,,
Engine stall,CPU_LEAF(6),11,203,3,n,,,
Engine stall,CPU_LEAF(6),12,204,3,n,,,
Engine stall,CPU_LEAF(6),13,205,3,n,,,
Engine stall,CPU_LEAF(6),14,206,3,n,,,
Engine stall,CPU_LEAF(6),15,207,3,n,,,
Engine stall,CPU_LEAF(6),16,208,3,n,,,
Engine stall,CPU_LEAF(6),17,209,3,n,,,
Engine stall,CPU_LEAF(6),18,210,3,n,,,
Engine stall,CPU_LEAF(6),19,211,3,n,,,
Engine stall,CPU_LEAF(6),20,212,3,n,,,
Engine stall,CPU_LEAF(6),21,213,3,n,,,
Engine stall,CPU_LEAF(6),22,214,3,n,,,
Engine stall,CPU_LEAF(6),23,215,3,n,,,
Engine stall,CPU_LEAF(6),24,216,3,n,,,
Engine stall,CPU_LEAF(6),25,217,3,n,,,
Engine stall,CPU_LEAF(6),26,218,3,n,,,
Engine stall,CPU_LEAF(6),27,219,3,n,,,
Engine stall,CPU_LEAF(6),28,220,3,n,,,
Engine stall,CPU_LEAF(6),29,221,3,n,,,
Engine stall,CPU_LEAF(6),30,222,3,n,,,
Engine stall,CPU_LEAF(6),31,223,3,n,,,
Runlist_tree1,CPU_LEAF(7),0,224,3,n,,,
Runlist_tree1,CPU_LEAF(7),1,225,3,n,,,
Runlist_tree1,CPU_LEAF(7),2,226,3,n,,,
Runlist_tree1,CPU_LEAF(7),3,227,3,n,,,
Runlist_tree1,CPU_LEAF(7),4,228,3,n,,,
Runlist_tree1,CPU_LEAF(7),5,229,3,n,,,
Runlist_tree1,CPU_LEAF(7),6,230,3,n,,,
Runlist_tree1,CPU_LEAF(7),7,231,3,n,,,
Runlist_tree1,CPU_LEAF(7),8,232,3,n,,,
Runlist_tree1,CPU_LEAF(7),9,233,3,n,,,
Runlist_tree1,CPU_LEAF(7),10,234,3,n,,,
Runlist_tree1,CPU_LEAF(7),11,235,3,n,,,
Runlist_tree1,CPU_LEAF(7),12,236,3,n,,,
Runlist_tree1,CPU_LEAF(7),13,237,3,n,,,
Runlist_tree1,CPU_LEAF(7),14,238,3,n,,,
Runlist_tree1,CPU_LEAF(7),15,239,3,n,,,
Runlist_tree1,CPU_LEAF(7),16,240,3,n,,,
Runlist_tree1,CPU_LEAF(7),17,241,3,n,,,
Runlist_tree1,CPU_LEAF(7),18,242,3,n,,,
Runlist_tree1,CPU_LEAF(7),19,243,3,n,,,
Runlist_tree1,CPU_LEAF(7),20,244,3,n,,,
Runlist_tree1,CPU_LEAF(7),21,245,3,n,,,
Runlist_tree1,CPU_LEAF(7),22,246,3,n,,,
Runlist_tree1,CPU_LEAF(7),23,247,3,n,,,
,CPU_LEAF(7),24,248,3,,,,
,CPU_LEAF(7),25,249,3,,,,
,CPU_LEAF(7),26,250,3,,,,
,CPU_LEAF(7),27,251,3,,,,
,CPU_LEAF(7),28,252,3,,,,
,CPU_LEAF(7),29,253,3,,,,
,CPU_LEAF(7),30,254,3,,,,
,CPU_LEAF(7),31,255,3,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
